#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2017 05 29 22 50 230  6.0  6.0   1.0     6   4.5 221 1016.9  25.6  25.2    MM   MM -0.0    MM
2017 05 29 21 50 230  6.0  7.0   1.0     6   4.6 231 1016.5  25.6  25.1    MM   MM +0.0    MM
2017 05 29 20 50 230  6.0  7.0   1.0     5   4.5 227 1016.5  25.6  25.0    MM   MM -0.3    MM
2017 05 29 19 50 230  7.0  8.0   1.0     5   4.3 231 1016.7  25.6  25.0    MM   MM +0.0    MM
2017 05 29 18 50 230  7.0  8.0   1.0     5   4.3 236 1016.7  25.5  25.0    MM   MM +0.3    MM
2017 05 29 17 50 220  8.0  9.0   1.0     5   4.3 216 1016.8  25.5  25.0    MM   MM +0.8    MM
2017 05 29 16 50 220  7.0  8.0   1.0     5   4.3 234 1016.6  25.3  24.9    MM   MM +0.8    MM
2017 05 29 15 50 220  7.0  8.0   1.0     5   4.4 227 1016.4  25.3  24.8    MM   MM +0.8    MM
2017 05 29 14 50 230  7.0  9.0   1.1     5   4.3 234 1016.0  25.2  24.7    MM   MM +0.8    MM
2017 05 29 13 50 230  7.0  8.0   1.1     5   4.2 220 1015.8  25.1  24.7    MM   MM +1.1    MM
2017 05 29 12 50 230  7.0  8.0   1.0     5   4.3 232 1015.6  24.9  24.6    MM   MM +1.4    MM
2017 05 29 11 50 230  7.0  9.0   1.1     6   4.2 263 1015.2  24.8  24.6    MM   MM +1.6    MM
2017 05 29 10 50 220  8.0 10.0   1.1     5   4.3 228 1014.7  24.8  24.7    MM   MM +1.7    MM
2017 05 29 09 50 220  8.0  9.0   1.1     6   4.3 247 1014.2  24.8  24.8    MM   MM +0.6    MM
2017 05 29 08 50 220  8.0  9.0   1.1     6   4.5 263 1013.6  24.7  24.9    MM   MM -0.7    MM
2017 05 29 07 50 200  8.0  9.0   1.1     6   4.6 253 1013.0  24.7  25.0    MM   MM -2.2    MM
2017 05 29 06 50 200  6.0  7.0   1.1     6   4.7 247 1013.6  24.8  25.0    MM   MM -1.1    MM
2017 05 29 05 50 210  6.0  8.0   1.2     6   4.7 253 1014.3  24.9  25.0    MM   MM -0.3    MM
2017 05 29 04 50 240  7.0  8.0   1.1     6   4.7 244 1015.2  24.9  25.0    MM   MM +1.0    MM
2017 05 29 03 50 210  6.0  8.0   1.0     7   4.7 240 1014.7  24.9  25.0    MM   MM +0.5    MM
2017 05 29 02 50 210  7.0  8.0   1.1     6   4.9 246 1014.6  25.0  25.0    MM   MM -0.0    MM
2017 05 29 01 50 200  7.0  8.0   1.2     6   4.9 253 1014.2  24.8  25.0    MM   MM -0.4    MM
2017 05 29 00 50 210  7.0  8.0   1.1     7   4.8 261 1014.2  24.8  25.0    MM   MM +0.0    MM
2017 05 28 23 50 210  6.0  7.0   1.1     6   4.7 232 1014.6  24.9  25.0    MM   MM +0.0    MM
2017 05 28 22 50 210  7.0  8.0   1.0     6   4.5 243 1014.6  25.0  25.1    MM   MM -1.0    MM
2017 05 28 21 50 210  7.0  8.0   1.2     5   4.6 231 1014.3  25.1  25.1    MM   MM -1.9    MM
2017 05 28 20 50 200  7.0  8.0   1.1     5   4.5 239 1014.5  25.1  25.2    MM   MM -1.8    MM
2017 05 28 19 50 220  6.0  7.0   1.2     5   4.5 240 1015.6  25.1  25.2    MM   MM -1.0    MM
2017 05 28 18 50 240  6.0  7.0   1.2     5   4.4 254 1016.2  25.1  25.1    MM   MM +0.3    MM
2017 05 28 17 50 230  7.0  8.0   1.2     5   4.5 256 1016.3  25.0  25.1    MM   MM +1.3    MM
2017 05 28 16 50 250  7.0  9.0   1.2     5   4.3 255 1016.6  25.0  25.1    MM   MM +2.1    MM
2017 05 28 15 50 230  8.0 10.0   1.2     5   4.4 246 1015.9  24.9  25.0    MM   MM +1.1    MM
2017 05 28 14 50 230  9.0 11.0   1.1     4   4.3 249 1015.0  24.8  25.0    MM   MM +0.5    MM
2017 05 28 13 50 220  8.0  9.0   1.0     5   4.3 257 1014.5  24.7  24.9    MM   MM +0.4    MM
2017 05 28 12 50 230  7.0  9.0   1.0     5   4.4 262 1014.8  24.6  24.9    MM   MM +0.8    MM
2017 05 28 11 50 230  8.0  9.0   1.0     7   4.4 150 1014.5  24.5  24.9    MM   MM +0.5    MM
2017 05 28 10 50 230  7.0  8.0   0.9     7   4.4 159 1014.1  24.4  24.9    MM   MM +0.0    MM
2017 05 28 09 50 230  7.0  8.0   1.0     7   4.5 156 1014.0  24.4  24.9    MM   MM -0.6    MM
2017 05 28 08 50 230  7.0  8.0   0.9     7   4.4 141 1014.0  24.3  24.9    MM   MM -1.1    MM
2017 05 28 07 50 230  7.0  8.0   0.9     7   4.6 153 1014.2  24.4  24.9    MM   MM -1.5    MM
2017 05 28 06 50 240  6.0  7.0   0.9     7   4.7 146 1014.6  24.5  25.0    MM   MM -1.2    MM
2017 05 28 05 50 240  6.0  7.0   0.9     7   4.6 152 1015.1  24.5  25.0    MM   MM -0.8    MM
2017 05 28 04 50 230  6.0  7.0   0.9     7   4.7 139 1015.7  24.6  25.0    MM   MM +0.4    MM
2017 05 28 03 50 230  6.0  7.0   0.9     6   4.7 158 1015.8  24.6  25.0    MM   MM +0.3    MM
2017 05 28 02 50 230  7.0  8.0   0.9     7   4.8 141 1015.9  24.7  25.0    MM   MM -0.0    MM
2017 05 28 01 50 210  7.0  7.0   0.9     8   4.9 148 1015.3  24.7  25.1    MM   MM -0.8    MM
2017 05 28 00 50 220  6.0  7.0   0.9     7   4.9 153 1015.5  24.7  25.1    MM   MM -0.8    MM
2017 05 27 23 50 220  5.0  6.0   0.9     7   4.9 123 1015.8  24.7  25.1    MM   MM -0.3    MM
2017 05 27 22 50 230  6.0  7.0   0.9     7   4.7 144 1016.1  24.8  25.2    MM   MM +0.0    MM
2017 05 27 21 50 240  6.0  7.0   0.9     7   4.8 147 1016.3  24.8  25.3    MM   MM -0.5    MM
2017 05 27 20 50 240  6.0  7.0   0.9     7   4.7 153 1016.1  24.7  25.3    MM   MM -1.0    MM
2017 05 27 19 50 230  6.0  7.0   0.9     7   4.7 145 1016.1  24.6  25.3    MM   MM -1.1    MM
2017 05 27 18 50 240  6.0  6.0   0.9     7   4.7 146 1016.8  24.6  25.3    MM   MM -0.5    MM
2017 05 27 17 50 240  5.0  6.0   1.0     8   4.8 144 1017.1  24.5  25.3    MM   MM +0.0    MM
2017 05 27 16 50 240  5.0  6.0   1.0     7   4.9 163 1017.2  24.4  25.2    MM   MM +0.0    MM
2017 05 27 15 50 250  5.0  6.0   1.0     7   5.0 172 1017.3  24.3  25.1    MM   MM +0.0    MM
2017 05 27 14 50 260  5.0  6.0   1.1     7   5.0 155 1017.2  24.2  25.0    MM   MM +0.0    MM
2017 05 27 13 50 270  4.0  6.0   1.1     5   4.9 302 1017.4  24.2  24.9    MM   MM +0.4    MM
2017 05 27 12 50 270  5.0  6.0   1.1     6   5.0 205 1017.3  24.2  24.8    MM   MM +0.7    MM
2017 05 27 11 50 280  5.0  6.0   1.2     7   5.1 184 1017.1  24.2  24.8    MM   MM +1.1    MM
2017 05 27 10 50 270  4.0  6.0   1.2     6   5.1 298 1017.0  24.2  24.8    MM   MM +0.8    MM
2017 05 27 09 50 280  5.0  6.0   1.3     7   5.2 167 1016.6  24.1  24.8    MM   MM -0.0    MM
2017 05 27 08 50 270  5.0  6.0   1.3     6   5.1 262 1016.0  24.1  24.8    MM   MM -0.8    MM
2017 05 27 07 50 280  6.0  7.0   1.4     7   5.2 181 1016.2  24.3  24.8    MM   MM -0.8    MM
2017 05 27 06 50 260  6.0  7.0   1.2     6   5.1 255 1016.5  24.4  24.8    MM   MM +0.0    MM
2017 05 27 05 50 250  6.0  7.0   1.4     6   5.2 251 1016.8  24.5  24.8    MM   MM +0.0    MM
2017 05 27 04 50 270  6.0  8.0   1.4     7   5.2 206 1017.0  24.7  24.8    MM   MM +0.6    MM
2017 05 27 03 50 260  6.0  8.0   1.4     7   5.2 230 1016.7  24.8  24.9    MM   MM +0.7    MM
2017 05 27 02 50 260  7.0  8.0   1.4     7   5.2 197 1016.6  25.0  24.9    MM   MM +1.0    MM
